type,title,director,cast,country,date_added,release_year,rating,duration,listed_in
TV Show,Lucifer,Unknow,"Tom Ellis, Lauren German, Kevin Alejandro, D.B. Woodside, Lesley-Ann Brandt, Scarlett Estevez, Rachael Harris, Aimee Garcia, Tricia Helfer, Tom Welling, Jeremiah W. Birkett, Pej Vahdat, Michael Gladis",United States,2021-09-10,2021,TV-14,6 Seasons,"Crime TV Shows, TV Comedies, TV Dramas"
TV Show,Metal Shop Masters,Unknow,Jo Koy,United States,2021-09-10,2021,TV-MA,1 Season,Reality TV
Movie,Omo Ghetto: the Saga,"JJC Skillz, Funke Akindele","Funke Akindele, Ayo Makun, Chioma Chukwuka Akpotha, Yemi Eberechi Alade, Blossom Chukwujekwu, Deyemi Okanlawon, Alexx Ekubo, Zubby Michael, Tina Mba, Femi Jacobs",Nigeria,2021-09-10,2020,TV-MA,147 min,"Action & Adventure, Comedies, Dramas"
TV Show,Pokémon Master Journeys: The Series,Unknow,"Ikue Otani, Sarah Natochenny, Zeno Robinson, Cherami Leigh, James Carter Cathcart, Michele Knotz, Rodger Parsons, Ray Chase, Casey Mongillo, Tara Sands",United States,2021-09-10,2021,TV-Y7,1 Season,"Anime Series, Kids' TV"
Movie,Prey,Thomas Sieben,"David Kross, Hanno Koffler, Maria Ehrich, Robert Finster, Yung Ngo, Klaus Steinbacher, Livia Matthes, Nellie Thalbach",United States,2021-09-10,2021,TV-MA,87 min,"International Movies, Thrillers"
TV Show,Titipo Titipo,Unknow,"Jeon Hae-ri, Kim Eun-ah, Hong Bum-ki, Nam Do-hyeong, Um Sang-hyun",United States,2021-09-10,2019,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows"
Movie,Blood Brothers: Malcolm X & Muhammad Ali,Marcus Clarke,"Malcolm X, Muhammad Ali",United States,2021-09-09,2021,PG-13,96 min,"Documentaries, Sports Movies"
TV Show,Mighty Raju,Unknow,"Julie Tejwani, Sabina Malik, Jigna Bhardwaj, Rupa Bhimani, Lalit Agarwal, Rajesh Shukla, Rajesh Kava",United States,2021-09-09,2017,TV-Y7,4 Seasons,Kids' TV
Movie,Paradise Hills,Alice Waddington,"Emma Roberts, Danielle Macdonald, Awkwafina, Eiza González, Milla Jovovich, Jeremy Irvine, Arnaud Valois, Daniel Horvath",Spain,2021-09-09,2019,TV-MA,95 min,"Sci-Fi & Fantasy, Thrillers"
Movie,The Women and the Murderer,"Mona Achache, Patricia Tourancheau",Unknow,France,2021-09-09,2021,TV-14,92 min,"Documentaries, International Movies"
TV Show,Into the Night,Unknow,"Pauline Etienne, Laurent Capelluto, Stefano Cassetti, Mehmet Kurtuluş, Babetida Sadjo, Jan Bijvoet, Ksawery Szlenkier, Vincent Londez, Regina Bikkinina, Alba Gaïa Kraghede Bellugi, Nabil Mallat",Belgium,2021-09-08,2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries"
